磁芯损耗，w/m3,频率，Hz,温度，oC,励磁波形,均值,中位数,总和,标准差,最小值,最大值,极差,变异系数,Q1,Q3,偏度,峰度,主频
1997.955250,50030,25,1,-0.000000,-0.000000,-0.000000,0.020400,-0.028840,0.028849,0.057689,-509506994.680052,-0.020325,0.020328,-0.000628,-1.497894,0.000976
2427.749830,50020,25,1,-0.000000,0.000020,-0.000000,0.022223,-0.031427,0.031419,0.062846,-875257321.976021,-0.022168,0.022127,-0.001225,-1.497873,0.000976
3332.725760,50020,25,1,-0.000000,-0.000000,-0.000000,0.025107,-0.035513,0.035535,0.071047,-25709019368.877937,-0.025043,0.025061,-0.000495,-1.496364,0.000976
4502.908007,50020,25,1,-0.000000,-0.000000,-0.000000,0.028263,-0.040025,0.040015,0.080041,-482350667.146284,-0.028196,0.028138,-0.001534,-1.494870,0.000976
6063.023248,50030,25,1,0.000000,0.000000,0.000000,0.031812,-0.045085,0.045028,0.090113,775614455.950028,-0.031703,0.031631,-0.002513,-1.495099,0.000976
14273.854210,50020,25,1,0.000000,0.000020,0.000000,0.044811,-0.063457,0.063309,0.126766,2549228366.389731,-0.044654,0.044634,-0.003596,-1.497608,0.000976
56401.529520,50020,25,1,-0.000000,0.000195,-0.000000,0.079141,-0.112064,0.111447,0.223511,-16208300320.930374,-0.078971,0.079003,-0.006878,-1.500067,0.000976
73651.317280,50020,25,1,-0.000000,0.000442,-0.000000,0.088715,-0.125600,0.124867,0.250467,-7570376271.469981,-0.088508,0.088598,-0.007506,-1.501537,0.000976
125047.812200,50020,25,1,-0.000000,0.000261,-0.000000,0.111470,-0.157896,0.156656,0.314552,-12682691950.114637,-0.111495,0.111392,-0.009520,-1.503379,0.000976
161776.605900,50020,25,1,-0.000000,0.000668,-0.000000,0.124452,-0.176390,0.174815,0.351204,-2831983690.085815,-0.124609,0.124240,-0.010766,-1.503391,0.000976
352985.627200,50020,25,1,0.000000,0.001409,0.000000,0.175052,-0.247595,0.244365,0.491960,16295706206.017469,-0.175761,0.175647,-0.014811,-1.511471,0.000976
441717.962400,50030,25,1,0.000000,0.002207,0.000000,0.193139,-0.273151,0.268992,0.542143,19777514636.802711,-0.194384,0.194005,-0.016950,-1.513706,0.000976
