1,2,3,4,5,6,7,8,24,正确类别,错误预测概率,正确类别概率
0.0376,0.0451,0.02,0.0377,0.0483,0.0202,0.0178,0.3695,0.4037,8,0.4037,0.3695
0.003,0.013,0.0045,0.3592,0.0047,0.0031,0.0057,0.0034,0.6032,4,0.6032,0.3592
0.0552,0.0822,0.0321,0.0526,0.0972,0.0397,0.2792,0.3311,0.0308,7,0.3311,0.2792
0.0097,0.0157,0.0132,0.3512,0.0178,0.0172,0.0118,0.0224,0.5411,4,0.5411,0.3512
0.0205,0.0734,0.0136,0.1663,0.3015,0.0203,0.0211,0.0162,0.3671,5,0.3671,0.3015
0.3317,0.039,0.3905,0.0493,0.0284,0.0386,0.0582,0.0334,0.0309,1,0.3905,0.3317
0.0336,0.0252,0.0559,0.4383,0.1083,0.0289,0.0217,0.2647,0.0233,8,0.4383,0.2647
0.0539,0.043,0.3429,0.0223,0.3778,0.0258,0.0254,0.063,0.0461,3,0.3778,0.3429
0.0249,0.0205,0.3043,0.4653,0.0294,0.0246,0.0197,0.0181,0.0932,3,0.4653,0.3043
0.0065,0.0152,0.0246,0.4393,0.0276,0.0117,0.0103,0.0119,0.4531,4,0.4531,0.4393
0.3255,0.0377,0.0312,0.3996,0.0493,0.0587,0.0317,0.0319,0.0344,1,0.3996,0.3255
