lstat,rm,rad
0.000000,100000.000000,1.000000,4.980000
0.000000,6.421000,80.000000,9.140000
0.000000,6.998000,3.000000,2.940000
0.000000,7.147000,3.000000,5.330000
0.000000,6.012000,5.000000,12.430000
0.000000,100000.000000,5.000000,20.450000
0.000000,6.009000,5.000000,13.270000
0.000000,5.889000,5.000000,15.710000
0.000000,5.949000,4.000000,8.260000
0.000000,6.096000,4.000000,10.260000
0.000000,617.849761,4.000000,8.470000
0.000000,5.935000,4.000000,6.580000
0.000000,5.456000,4.000000,11.690000
0.000000,5.570000,4.000000,21.020000
0.000000,5.965000,4.000000,13.830000
0.000000,6.142000,4.000000,18.720000
0.000000,5.813000,4.000000,19.880000
0.000000,6.047000,4.000000,17.280000
0.000000,5.713000,4.000000,22.600000
0.000000,6.072000,4.000000,13.040000
0.000000,617.849761,4.000000,20.340000
0.000000,5.966000,5.000000,10.130000
0.000000,6.595000,3.000000,4.320000
0.000000,7.024000,3.000000,1.980000
0.000000,6.169000,3.000000,5.810000
0.000000,6.211000,3.000000,7.440000
0.000000,6.069000,3.000000,9.550000
0.000000,5.682000,3.000000,10.210000
0.000000,5.786000,3.000000,14.150000
0.000000,6.030000,3.000000,18.800000
0.000000,5.602000,3.000000,16.200000
0.000000,5.963000,4.000000,13.450000
0.000000,617.849761,4.000000,9.430000
0.000000,5.998000,4.000000,8.430000
0.000000,5.888000,3.000000,14.800000
0.000000,7.249000,5.000000,4.810000
0.000000,6.383000,2.000000,5.770000
0.000000,6.816000,5.000000,3.950000
0.000000,6.145000,8.000000,6.860000
0.000000,617.849761,8.000000,13.150000
0.000000,5.966000,8.000000,14.440000
0.000000,6.762000,8.000000,9.500000
0.000000,7.104000,3.000000,8.050000
0.000000,6.290000,4.000000,4.670000
0.000000,5.787000,4.000000,10.240000
0.000000,5.878000,4.000000,8.100000
0.000000,5.594000,4.000000,13.090000
0.000000,6.417000,4.000000,6.720000
0.000000,6.065000,4.000000,5.520000
0.000000,6.245000,4.000000,7.540000
0.000000,6.273000,5.000000,6.780000
0.000000,6.286000,5.000000,8.940000
0.000000,6.279000,5.000000,11.970000
0.000000,6.140000,5.000000,10.270000
0.000000,6.727000,4.000000,5.290000
0.000000,6.619000,4.000000,7.220000
0.000000,6.167000,4.000000,7.510000
0.000000,6.389000,3.000000,9.620000
0.000000,617.849761,3.000000,6.530000
0.000000,6.015000,3.000000,12.860000
0.000000,6.121000,3.000000,8.440000
