,support,itemsets
0,0.08276563294356888,frozenset({'柑橘类水果'})
1,0.05856634468734113,frozenset({'人造黄油'})
2,0.05805795627859685,frozenset({'咖啡'})
3,0.10493136756481952,frozenset({'热带水果'})
4,0.13950177935943062,frozenset({'酸奶'})
5,0.25551601423487547,frozenset({'全脂牛奶'})
6,0.03965429588205389,frozenset({'奶油乳酪'})
7,0.07564819522114896,frozenset({'仁果类水果'})
8,0.037417386883579054,frozenset({'长面包'})
9,0.1934926283680732,frozenset({'其他蔬菜'})
10,0.05541433655312659,frozenset({'黄油'})
11,0.18393492628368074,frozenset({'面包卷'})
12,0.08052872394509406,frozenset({'瓶装啤酒'})
13,0.03345195729537367,frozenset({'超高温杀菌的牛奶'})
14,0.11052364006100661,frozenset({'瓶装水'})
15,0.04961870869344179,frozenset({'巧克力'})
16,0.042094560244026434,frozenset({'白面包'})
17,0.05327910523640061,frozenset({'凝乳'})
18,0.05246568378240976,frozenset({'牛肉'})
19,0.058973055414336555,frozenset({'冷冻热狗肠'})
20,0.17437722419928825,frozenset({'苏打'})
21,0.04290798169801729,frozenset({'鸡'})
22,0.0722928317234367,frozenset({'水果/蔬菜汁'})
23,0.07981698017285206,frozenset({'报纸'})
24,0.03385866802236909,frozenset({'糖'})
25,0.027351296390442297,frozenset({'特制门锁'})
26,0.027961362480935434,frozenset({'酪'})
27,0.08896797153024912,frozenset({'糕点'})
28,0.0298932384341637,frozenset({'糖果'})
29,0.10899847483477376,frozenset({'根茎类蔬菜'})
30,0.03782409761057448,frozenset({'咸点心'})
31,0.038434163701067614,frozenset({'威化饼'})
32,0.07768174885612608,frozenset({'罐装啤酒'})
33,0.09395017793594305,frozenset({'香肠'})
34,0.06487036095577021,frozenset({'黑面包'})
35,0.09852567361464158,frozenset({'购物袋'})
36,0.026029486527707167,frozenset({'一般饮料'})
37,0.033248601931875954,frozenset({'汉堡肉'})
38,0.03294356888662939,frozenset({'卫生用品'})
39,0.05236400610066091,frozenset({'餐巾'})
40,0.033248601931875954,frozenset({'莓果'})
41,0.05765124555160142,frozenset({'猪肉'})
42,0.07168276563294357,frozenset({'酸奶油'})
43,0.022369089984748347,frozenset({'葡萄'})
44,0.03711235383833249,frozenset({'甜点'})
45,0.06344687341128623,frozenset({'本地蛋类'})
