Class,Filename,Filepath,Width,Height,FirstLevel,SecondLevel
Com,00040ef5b8f2e7b2708f5cf4390fc4a1.tif,ImageSets\Com\00040ef5b8f2e7b2708f5cf4390fc4a1.tif,107,127,Commercial Zones,Business Tower
Res,00118c122b6c0d8e4f126af92ef698e0.tif,ImageSets\Res\00118c122b6c0d8e4f126af92ef698e0.tif,247,249,Residential Districts,High-rise Residential Buildings
Res,005dd86c172d6c2bc6dace28be71a896.tif,ImageSets\Res\005dd86c172d6c2bc6dace28be71a896.tif,433,220,Residential Districts,High-rise Residential Buildings
Agr,00912a5eea76ced46bda9ac3249ed0ba.tif,ImageSets\Agr\00912a5eea76ced46bda9ac3249ed0ba.tif,360,301,Agriculture and Nature,Mountain
Agr,016083f38d56228f51e98a460c832575.tif,ImageSets\Agr\016083f38d56228f51e98a460c832575.tif,376,352,Agriculture and Nature,Wasteland
Ind,01c379093f8ce97e0c3ed32ec51b7022.tif,ImageSets\Ind\01c379093f8ce97e0c3ed32ec51b7022.tif,262,125,Industrial Land,Industrial Park and Factory
Com,02259ec7145167ad8646fd6c67a51840.tif,ImageSets\Com\02259ec7145167ad8646fd6c67a51840.tif,194,153,Commercial Zones,Office Campus
Com,023ded876ac45419f73c755a4534dede.tif,ImageSets\Com\023ded876ac45419f73c755a4534dede.tif,151,198,Commercial Zones,Business Tower
Ind,0249d017c10e8697ef4bdc0c337ac973.tif,ImageSets\Ind\0249d017c10e8697ef4bdc0c337ac973.tif,184,329,Industrial Land,Industrial Park and Factory
Com,02596b63d2bc679d36721a4b03aa5628.tif,ImageSets\Com\02596b63d2bc679d36721a4b03aa5628.tif,156,160,Commercial Zones,Office Campus
Ind,0267486fcbf89feb5147979d4b3ad08a.tif,ImageSets\Ind\0267486fcbf89feb5147979d4b3ad08a.tif,364,312,Industrial Land,Industrial Park and Factory
Ind,02b2a81c2e2f688286ce406bb618b529.tif,ImageSets\Ind\02b2a81c2e2f688286ce406bb618b529.tif,244,259,Industrial Land,Industrial Park and Factory
Pub,02bb4e4a1b68ddf324890f256d789eda.tif,ImageSets\Pub\02bb4e4a1b68ddf324890f256d789eda.tif,205,234,Public Services,Parks and Squares
Agr,02cb1834a289f0326e6cb603f4e327be.tif,ImageSets\Agr\02cb1834a289f0326e6cb603f4e327be.tif,577,1112,Agriculture and Nature,Forestland and Grassland
Pub,02da23b9c24549d7453b9d7761258615.tif,ImageSets\Pub\02da23b9c24549d7453b9d7761258615.tif,154,271,Public Services,Educational and Research Institutions
Res,03042939ba595a3866d9aec3758ef08a.tif,ImageSets\Res\03042939ba595a3866d9aec3758ef08a.tif,281,316,Residential Districts,High-rise Residential Buildings
Com,036adc1f18acd58a16f451c84977e2f3.tif,ImageSets\Com\036adc1f18acd58a16f451c84977e2f3.tif,275,211,Commercial Zones,Office Campus
Pub,03723116b036171bd2adb657569880b6.tif,ImageSets\Pub\03723116b036171bd2adb657569880b6.tif,331,306,Public Services,Educational and Research Institutions
Com,0395b7e391cb2c9d8b2b23b4ef6ae5ec.tif,ImageSets\Com\0395b7e391cb2c9d8b2b23b4ef6ae5ec.tif,163,163,Commercial Zones,Commercial Market
Ind,03dba13da714e594fba85b4a6f91898d.tif,ImageSets\Ind\03dba13da714e594fba85b4a6f91898d.tif,276,326,Industrial Land,Industrial Park and Factory
Agr,04556edf8b52c46a9e74bcdceb9081a5.tif,ImageSets\Agr\04556edf8b52c46a9e74bcdceb9081a5.tif,705,712,Agriculture and Nature,Farmland
Com,045d0aa1c50768916cab70113af0855f.tif,ImageSets\Com\045d0aa1c50768916cab70113af0855f.tif,103,103,Commercial Zones,Commercial Market
Res,0460f09d35a047deb4d3d2877ed83192.tif,ImageSets\Res\0460f09d35a047deb4d3d2877ed83192.tif,306,199,Residential Districts,High-rise Residential Buildings
Res,046739101f78f44ad89487c2cf074081.tif,ImageSets\Res\046739101f78f44ad89487c2cf074081.tif,328,306,Residential Districts,High-rise Residential Buildings
Ind,049a8cff5f32c9c2242f93eb0945e909.tif,ImageSets\Ind\049a8cff5f32c9c2242f93eb0945e909.tif,267,192,Industrial Land,Industrial Park and Factory
Res,049c02c51eca7c9ab34fd77835cd818b.tif,ImageSets\Res\049c02c51eca7c9ab34fd77835cd818b.tif,145,178,Residential Districts,Urban Villages
Com,04c8b2e0200e8aecfd04175c2657ed00.tif,ImageSets\Com\04c8b2e0200e8aecfd04175c2657ed00.tif,248,155,Commercial Zones,Office Campus
Pub,051d6c39031a949593364b3c82033203.tif,ImageSets\Pub\051d6c39031a949593364b3c82033203.tif,227,268,Public Services,Parks and Squares
Res,0523ccecd2e546a99af126542bb8850d.tif,ImageSets\Res\0523ccecd2e546a99af126542bb8850d.tif,308,209,Residential Districts,High-rise Residential Buildings
Agr,058d8619cbe0651b66a8834197418063.tif,ImageSets\Agr\058d8619cbe0651b66a8834197418063.tif,297,738,Agriculture and Nature,Farmland
Agr,05dbf93cc46e5936831148f84132d93d.tif,ImageSets\Agr\05dbf93cc46e5936831148f84132d93d.tif,249,133,Agriculture and Nature,Forestland and Grassland
Agr,066529ce26eb28583ea074bfe2241f1d.tif,ImageSets\Agr\066529ce26eb28583ea074bfe2241f1d.tif,157,169,Agriculture and Nature,Farmland
Pub,066f676ca7946198972b955c23202153.tif,ImageSets\Pub\066f676ca7946198972b955c23202153.tif,180,208,Public Services,Educational and Research Institutions
Pub,06a39510c831f38ccb7abe2d1e268270.tif,ImageSets\Pub\06a39510c831f38ccb7abe2d1e268270.tif,238,212,Public Services,Educational and Research Institutions
Pub,071b5d3f25d58d24945169b19827c763.tif,ImageSets\Pub\071b5d3f25d58d24945169b19827c763.tif,212,166,Public Services,Educational and Research Institutions
Pub,077c3ef732fad8978c01cbfaaa4d80f8.tif,ImageSets\Pub\077c3ef732fad8978c01cbfaaa4d80f8.tif,230,198,Public Services,Educational and Research Institutions
Agr,07c0e72ba872824ee87eb8410c997246.tif,ImageSets\Agr\07c0e72ba872824ee87eb8410c997246.tif,254,215,Agriculture and Nature,Wasteland
Com,0823b595ab43fb0fec98e46692c6f142.tif,ImageSets\Com\0823b595ab43fb0fec98e46692c6f142.tif,120,119,Commercial Zones,Commercial Market
Com,082adeeb5c8633a43d39c5f267aa890b.tif,ImageSets\Com\082adeeb5c8633a43d39c5f267aa890b.tif,155,170,Commercial Zones,Commercial Market
Ind,08475c3651cd42a6830c2438674042ed.tif,ImageSets\Ind\08475c3651cd42a6830c2438674042ed.tif,431,263,Industrial Land,Construction Site
Res,08594e69e9563d26eb699cd57c5eb34a.tif,ImageSets\Res\08594e69e9563d26eb699cd57c5eb34a.tif,232,158,Residential Districts,High-rise Residential Buildings
Res,08637f00acf0d07cd6a7d0a5f6ac198a.tif,ImageSets\Res\08637f00acf0d07cd6a7d0a5f6ac198a.tif,190,184,Residential Districts,High-rise Residential Buildings
Pub,0880dc93bb739c1eed972f2edfd0af0f.tif,ImageSets\Pub\0880dc93bb739c1eed972f2edfd0af0f.tif,106,148,Public Services,Parks and Squares
Res,0915f66379d1dfdb6a00a8798e8b634f.tif,ImageSets\Res\0915f66379d1dfdb6a00a8798e8b634f.tif,256,227,Residential Districts,High-rise Residential Buildings
Pub,092b872a7492742a381aeecc9a4089be.tif,ImageSets\Pub\092b872a7492742a381aeecc9a4089be.tif,117,125,Public Services,Educational and Research Institutions
Pub,095f018284f7f19be975b2979db418f5.tif,ImageSets\Pub\095f018284f7f19be975b2979db418f5.tif,158,157,Public Services,Parks and Squares
Pub,09a879adece4fea725b9c17824902253.tif,ImageSets\Pub\09a879adece4fea725b9c17824902253.tif,391,430,Public Services,Educational and Research Institutions
Agr,09fa85106cc12d0abc6f233831ae2443.tif,ImageSets\Agr\09fa85106cc12d0abc6f233831ae2443.tif,2819,3458,Agriculture and Nature,Mountain
Res,0a1662ce5e0b6131a219c0b091e7aff9.tif,ImageSets\Res\0a1662ce5e0b6131a219c0b091e7aff9.tif,172,157,Residential Districts,High-rise Residential Buildings
Agr,0a20a0cf109abcb5df4936c9be014306.tif,ImageSets\Agr\0a20a0cf109abcb5df4936c9be014306.tif,241,318,Agriculture and Nature,Forestland and Grassland
Ind,0a4b6d6592013171298fdb2ee4c23df4.tif,ImageSets\Ind\0a4b6d6592013171298fdb2ee4c23df4.tif,262,388,Industrial Land,Industrial Park and Factory
Agr,0ae7609aa3d0b1010a04e544103486f3.tif,ImageSets\Agr\0ae7609aa3d0b1010a04e544103486f3.tif,260,302,Agriculture and Nature,Wasteland
Res,0b182009fae1e3d5941fa7c2f9ff0d1b.tif,ImageSets\Res\0b182009fae1e3d5941fa7c2f9ff0d1b.tif,177,254,Residential Districts,High-rise Residential Buildings
Res,0b4d6fa79425e90ed4637f885eac2dbd.tif,ImageSets\Res\0b4d6fa79425e90ed4637f885eac2dbd.tif,352,240,Residential Districts,Villas and High-end Residences
Ind,0b6e46101a2e3da4e11ea05bfbbfbe9a.tif,ImageSets\Ind\0b6e46101a2e3da4e11ea05bfbbfbe9a.tif,262,232,Industrial Land,Industrial Park and Factory
Pub,0befa627907ecc2c697a6476d25af75f.tif,ImageSets\Pub\0befa627907ecc2c697a6476d25af75f.tif,257,215,Public Services,Educational and Research Institutions
Com,0c20baefafbcabb0434ffd95f887de06.tif,ImageSets\Com\0c20baefafbcabb0434ffd95f887de06.tif,128,126,Commercial Zones,Office Campus
Com,0c636e12cb963e8593b656bf94db461f.tif,ImageSets\Com\0c636e12cb963e8593b656bf94db461f.tif,160,107,Commercial Zones,Office Campus
Agr,0c6699d0d334feedb86aa85d1c427e18.tif,ImageSets\Agr\0c6699d0d334feedb86aa85d1c427e18.tif,317,383,Agriculture and Nature,Farmland
Agr,0cf2156e0d62b4790232bed951173801.tif,ImageSets\Agr\0cf2156e0d62b4790232bed951173801.tif,336,320,Agriculture and Nature,Mountain
Com,0d8b5a166297c5d6cd4f5850064a0e79.tif,ImageSets\Com\0d8b5a166297c5d6cd4f5850064a0e79.tif,270,198,Commercial Zones,Office Campus
Pub,0dc84222183abe585dff037de31c8f18.tif,ImageSets\Pub\0dc84222183abe585dff037de31c8f18.tif,869,610,Public Services,Parks and Squares
Agr,0dcf999b54a9309a3e7dcc553b989320.tif,ImageSets\Agr\0dcf999b54a9309a3e7dcc553b989320.tif,429,745,Agriculture and Nature,Forestland and Grassland
Agr,0df6f77e1dcd3a20a3704fc713d54110.tif,ImageSets\Agr\0df6f77e1dcd3a20a3704fc713d54110.tif,129,153,Agriculture and Nature,Farmland
Agr,0e1e3f3d0dd9deb7cdcd4b917125a630.tif,ImageSets\Agr\0e1e3f3d0dd9deb7cdcd4b917125a630.tif,3269,2054,Agriculture and Nature,Mountain
Res,0e287477cb81deace8dce39bbb57b046.tif,ImageSets\Res\0e287477cb81deace8dce39bbb57b046.tif,185,248,Residential Districts,High-rise Residential Buildings
Agr,0e45b68a8f18e23f274f1fbed32b7dce.tif,ImageSets\Agr\0e45b68a8f18e23f274f1fbed32b7dce.tif,249,249,Agriculture and Nature,Wasteland
Ind,0e4d6f3e64980dc10b7151a809cb0685.tif,ImageSets\Ind\0e4d6f3e64980dc10b7151a809cb0685.tif,127,125,Industrial Land,Industrial Park and Factory
Agr,0e988fb35a70ed288ab628bbaff8f9a3.tif,ImageSets\Agr\0e988fb35a70ed288ab628bbaff8f9a3.tif,213,134,Agriculture and Nature,Forestland and Grassland
Com,0f680ae17119b54245e6ee3e0257a183.tif,ImageSets\Com\0f680ae17119b54245e6ee3e0257a183.tif,453,194,Commercial Zones,Office Campus
Ind,0fa011749e9dbb46853973fdcb1fbffa.tif,ImageSets\Ind\0fa011749e9dbb46853973fdcb1fbffa.tif,698,912,Industrial Land,Industrial Park and Factory
Pub,0faa16ff07c514e667492ac7c9e3512a.tif,ImageSets\Pub\0faa16ff07c514e667492ac7c9e3512a.tif,226,211,Public Services,Non-profit Public Institutions(Museum; Stadium; Hospital)
Pub,0fd0c4204e15c93bf29161a76927c655.tif,ImageSets\Pub\0fd0c4204e15c93bf29161a76927c655.tif,1198,866,Public Services,Educational and Research Institutions
Res,1020b2d87f0a2a86939bbcfcc73ab2be.tif,ImageSets\Res\1020b2d87f0a2a86939bbcfcc73ab2be.tif,302,303,Residential Districts,High-rise Residential Buildings
