,快递运输数量(件) (Express delivery quantity (PCS))
2018-07-19,156.0
2018-07-20,107.0
2018-07-21,108.0
2018-07-22,74.0
2018-07-23,71.0
2018-07-24,72.0
2018-07-25,133.0
2018-07-26,278.0
2018-07-27,428.0
2018-07-28,484.0
2018-07-29,541.0
2018-07-30,611.0
2018-07-31,485.0
2018-08-01,516.0
2018-08-02,518.0
2018-08-03,569.0
2018-08-04,547.0
2018-08-05,534.0
2018-08-06,596.0
2018-08-07,494.0
2018-08-08,463.0
2018-08-09,344.0
2018-08-10,224.0
2018-08-11,152.0
2018-08-12,142.0
2018-08-13,96.0
2018-08-14,81.0
2018-08-15,73.0
2018-08-16,63.0
2018-08-17,69.0
2018-08-18,158.0
2018-08-19,550.0
2018-08-20,581.0
2018-08-21,488.0
2018-08-22,500.0
2018-08-23,459.0
2018-08-24,368.0
2018-08-25,113.0
2018-08-26,502.0
2018-08-27,515.0
2018-08-28,133.0
2018-08-29,110.0
2018-08-30,88.0
2018-08-31,559.0
2018-09-01,491.0
2018-09-02,468.0
2018-09-03,499.0
2018-09-04,404.0
2018-09-05,454.0
2018-09-06,506.0
2018-09-07,473.0
2018-09-08,540.0
2018-09-09,547.0
2018-09-10,517.0
2018-09-11,413.0
2018-09-12,384.0
2018-09-13,286.0
2018-09-14,206.0
2018-09-15,155.0
2018-09-16,223.0
2018-09-17,533.0
2018-09-18,520.0
2018-09-19,582.0
2018-09-20,478.0
2018-09-21,531.0
2018-09-22,585.0
2018-09-23,579.0
2018-09-24,607.0
2018-09-25,621.0
2018-09-26,692.0
2018-09-27,522.0
2018-09-28,517.0
2018-09-29,413.0
2018-09-30,267.0
2018-10-01,178.0
2018-10-02,154.0
2018-10-03,122.0
2018-10-04,88.0
2018-10-05,83.0
2018-10-06,72.0
2018-10-07,73.0
2018-10-08,148.0
2018-10-09,557.0
2018-10-10,614.0
2018-10-11,467.0
2018-10-12,527.0
2018-10-13,578.0
2018-10-14,486.0
2018-10-15,520.0
2018-10-16,561.0
2018-10-17,523.0
2018-10-18,551.0
2018-10-19,526.0
2018-10-20,617.0
2018-10-21,523.0
2018-10-22,526.0
2018-10-23,402.0
2018-10-24,284.0
2018-10-25,185.0
2018-10-26,175.0
2018-10-27,110.0
2018-10-28,91.0
2018-10-29,74.0
2018-10-30,68.0
2018-10-31,70.0
2018-11-01,124.0
2018-11-02,283.0
2018-11-03,424.0
2018-11-04,92.0
2018-11-05,348.95075757575756
2018-11-06,406.0
2018-11-07,435.0
2018-11-08,517.0
2018-11-09,457.0
2018-11-10,512.0
2018-11-11,454.0
2018-11-12,485.0
2018-11-13,535.0
2018-11-14,447.0
2018-11-15,443.0
2018-11-16,298.0
2018-11-17,210.0
2018-11-18,145.0
2018-11-19,131.0
2018-11-20,94.0
2018-11-21,79.0
2018-11-22,64.0
2018-11-23,59.0
2018-11-24,70.0
2018-11-25,104.0
2018-11-26,268.0
